iter	Passed	Remaining
0	2	228
1	4	219
2	6	210
3	7	191
4	10	198
5	12	195
6	14	195
7	16	193
8	19	195
9	21	192
10	23	188
11	26	192
12	28	189
13	30	186
14	33	187
15	35	184
16	37	181
17	39	178
18	41	177
19	43	175
20	45	172
21	47	170
22	50	167
23	52	164
24	54	164
25	58	165
26	60	162
27	62	159
28	64	158
29	66	155
30	69	153
31	71	151
32	73	148
33	75	146
34	77	143
35	80	143
36	82	140
37	84	138
38	86	135
39	89	133
40	91	131
41	92	127
42	94	124
43	124	158
44	126	154
45	128	151
46	130	147
47	132	144
48	135	140
49	137	137
50	139	133
51	141	130
52	143	127
53	145	123
54	146	119
55	148	116
56	150	113
57	152	110
58	155	107
59	158	105
60	160	102
61	162	99
62	164	96
63	167	93
64	169	91
65	171	88
66	173	85
67	175	82
68	177	79
69	179	76
70	181	74
71	183	71
72	185	68
73	189	66
74	191	63
75	193	61
76	195	58
77	197	55
78	199	53
79	201	50
80	203	47
81	205	45
82	207	42
83	209	39
84	212	37
85	214	34
86	216	32
87	218	29
88	220	27
89	222	24
90	224	22
91	226	19
92	228	17
93	230	14
94	232	12
95	234	9
96	236	7
97	238	4
98	241	2
99	243	0
