iter	Passed	Remaining
0	287	287406
1	290	144729
2	292	97088
3	295	73668
4	299	59625
5	302	50093
6	305	43330
7	309	38334
8	311	34295
9	313	31054
10	318	28616
11	320	26385
12	327	24859
13	329	23225
14	331	21791
15	333	20533
16	335	19425
17	341	18649
18	343	17759
19	345	16953
20	348	16226
21	350	15563
22	352	14958
23	356	14507
24	358	14000
25	363	13622
26	365	13181
27	367	12767
28	373	12491
29	375	12130
30	377	11791
31	379	11472
32	381	11174
33	385	10943
34	387	10679
35	389	10429
36	391	10191
37	393	9967
38	396	9768
39	401	9644
40	404	9450
41	406	9265
42	408	9093
43	410	8922
44	412	8758
45	418	8682
46	420	8535
47	422	8389
48	425	8251
49	427	8117
50	432	8043
51	434	7919
52	436	7798
53	438	7680
54	440	7568
55	442	7459
56	456	7553
57	458	7449
58	462	7382
59	465	7299
60	468	7205
61	470	7112
62	472	7022
63	474	6934
64	478	6876
65	480	6795
66	482	6715
67	484	6638
68	486	6569
69	488	6495
70	490	6424
71	494	6377
72	496	6310
73	498	6243
74	500	6178
75	502	6115
76	504	6052
77	509	6018
78	512	5977
79	514	5922
80	516	5865
81	519	5810
82	519	5743
83	521	5690
84	528	5686
85	530	5636
86	532	5586
87	534	5538
88	536	5490
89	543	5490
90	545	5445
91	547	5400
92	549	5355
93	551	5312
94	553	5269
95	566	5334
96	569	5303
97	572	5266
98	574	5226
99	576	5186
100	578	5147
101	580	5109
102	582	5072
103	606	5224
104	608	5186
105	610	5148
106	612	5112
107	614	5075
108	619	5063
109	621	5030
110	623	4996
111	625	4962
112	627	4928
113	629	4895
114	636	4900
115	638	4868
116	640	4831
117	642	4800
118	644	4774
119	649	4761
120	652	4737
121	653	4704
122	657	4686
123	660	4663
124	664	4651
125	666	4624
126	668	4593
127	670	4566
128	672	4543
129	675	4517
130	677	4491
131	682	4488
132	685	4465
133	687	4440
134	689	4415
135	691	4391
136	704	4438
137	706	4414
138	708	4390
139	713	4385
140	716	4362
141	717	4333
